lengte (cm), tijd 10 slingeringen (s), fout in lengte (cm), fout in tijd (s)
182.5,27.21,1.3,0.4
182.5,27.06,1.3,0.4
182.5,26.94,1.3,0.4
182.5,26.97,1.3,0.4
182.5,27.15,1.3,0.4
182.5,27.00,1.3,0.4
160.0,25.44,0.5,0.4
160.0,25.69,0.5,0.4
160.0,25.12,0.5,0.4
160.0,25.69,0.5,0.4
160.0,25.35,0.5,0.4
160.0,25.43,0.5,0.4
134.6,23.35,0.5,0.4
134.6,23.28,0.5,0.4
134.6,23.31,0.5,0.4
134.6,23.41,0.5,0.4
134.6,23.40,0.5,0.4
134.6,23.41,0.5,0.4
115.9,21.86,0.5,0.4
115.9,21.79,0.5,0.4
115.9,21.65,0.5,0.4
115.9,21.72,0.5,0.4
115.9,21.72,0.5,0.4
115.9,21.57,0.5,0.4
106.1,20.59,0.5,0.4
106.1,20.66,0.5,0.4
106.1,20.63,0.5,0.4
106.1,20.78,0.5,0.4
106.1,20.72,0.5,0.4
106.1,20.60,0.5,0.4
